ID;_assignment;strata;departamento;municipio
66400;6;5;RISARALDA;LA VIRGINIA
68895;6;7;SANTANDER;ZAPATOCA
73443;6;5;TOLIMA;MARIQUITA
73624;6;2;TOLIMA;ROVIRA
76100;6;4;VALLE;BOLIVAR
81794;6;6;ARAUCA;TAME
85139;6;7;CASANARE;MANI
5036;7;1;ANTIOQUIA;ANGELOPOLIS
5101;7;5;ANTIOQUIA;BOLIVAR
5129;7;9;ANTIOQUIA;CALDAS
5134;7;1;ANTIOQUIA;CAMPAMENTO
5172;7;3;ANTIOQUIA;CHIGORODO
5686;7;8;ANTIOQUIA;SANTA ROSA DE OSOS
5756;7;5;ANTIOQUIA;SONSON
5790;7;2;ANTIOQUIA;TARAZA
8078;7;6;ATLANTICO;BARANOA
8421;7;2;ATLANTICO;LURUACO
8638;7;6;ATLANTICO;SABANALARGA
13212;7;4;BOLIVAR;CORDOBA
13688;7;8;BOLIVAR;SANTA ROSA DEL SUR
15469;7;8;BOYACA;MONIQUIRA
15681;7;7;BOYACA;SAN PABLO DE BORBUR
15804;7;1;BOYACA;TIBANA
15837;7;7;BOYACA;TUTA
17050;7;4;CALDAS;ARANZAZU
17614;7;9;CALDAS;RIOSUCIO
17616;7;4;CALDAS;RISARALDA
18410;7;2;CAQUETA;LA MONTAÑITA
18860;7;1;CAQUETA;VALPARAISO
19355;7;5;CAUCA;INZA
19397;7;3;CAUCA;LA VEGA
19532;7;2;CAUCA;PATIA (EL BORDO)
19693;7;1;CAUCA;SAN SEBASTIAN
19845;7;7;CAUCA;VILLA RICA
20238;7;5;CESAR;EL COPEY
20443;7;7;CESAR;MANAURE BALCON DEL CESAR (MANA
25181;7;7;CUNDINAMARCA;CHOACHI
41132;7;8;HUILA;CAMPOALEGRE
41668;7;5;HUILA;SAN AGUSTIN
47660;7;4;MAGDALENA;SABANAS DE SAN ANGEL
47720;7;1;MAGDALENA;SANTA BARBARA DE PINTO
50370;7;7;META;URIBE
50400;7;4;META;LEJANIAS
50680;7;7;META;SAN CARLOS DE GUAROA
52215;7;4;NARIÑO;CORDOBA
52240;7;4;NARIÑO;CHACHAGUI
52621;7;2;NARIÑO;ROBERTO PAYAN (SAN JOSE)
54385;7;4;NORTE DE SANTANDER;LA ESPERANZA
54398;7;1;NORTE DE SANTANDER;LA PLAYA
54498;7;9;NORTE DE SANTANDER;OCAÑA
68190;7;6;SANTANDER;CIMITARRA
68235;7;8;SANTANDER;EL CARMEN
68572;7;4;SANTANDER;PUENTE NACIONAL
73283;7;5;TOLIMA;FRESNO
73483;7;2;TOLIMA;NATAGAIMA
73671;7;4;TOLIMA;SALDAÑA
76606;7;1;VALLE;RESTREPO
85325;7;7;CASANARE;SAN LUIS DE PALENQUE
5138;8;4;ANTIOQUIA;CAÑASGORDAS
5154;8;3;ANTIOQUIA;CAUCASIA
5313;8;4;ANTIOQUIA;GRANADA
5361;8;1;ANTIOQUIA;ITUANGO
5380;8;9;ANTIOQUIA;LA ESTRELLA
5400;8;8;ANTIOQUIA;LA UNION
5585;8;2;ANTIOQUIA;PUERTO NARE-LA MAGDALENA
5858;8;1;ANTIOQUIA;VEGACHI
5895;8;2;ANTIOQUIA;ZARAGOZA
8433;8;6;ATLANTICO;MALAMBO
8436;8;1;ATLANTICO;MANATI
8560;8;2;ATLANTICO;PONEDERA
8634;8;5;ATLANTICO;SABANAGRANDE
13268;8;1;BOLIVAR;EL PEÑON
13300;8;1;BOLIVAR;HATILLO DE LOBA
13670;8;2;BOLIVAR;SAN PABLO
15183;8;4;BOYACA;CHITA
15491;8;7;BOYACA;NOBSA
15507;8;7;BOYACA;OTANCHE
15542;8;4;BOYACA;PESCA
15806;8;7;BOYACA;TIBASOSA
15814;8;4;BOYACA;TOCA
17442;8;1;CALDAS;MARMATO
18256;8;1;CAQUETA;EL PAUJIL
19100;8;3;CAUCA;BOLIVAR
19473;8;2;CAUCA;MORALES
20621;8;5;CESAR;LA PAZ
20710;8;8;CESAR;SAN ALBERTO
25126;8;9;CUNDINAMARCA;CAJICA
25260;8;7;CUNDINAMARCA;EL ROSAL
25286;8;9;CUNDINAMARCA;FUNZA
25394;8;1;CUNDINAMARCA;LA PALMA
25491;8;7;CUNDINAMARCA;NOCAIMA
25535;8;7;CUNDINAMARCA;PASCA
25740;8;8;CUNDINAMARCA;SIBATE
25772;8;7;CUNDINAMARCA;SUESCA
25815;8;5;CUNDINAMARCA;TOCAIMA
41206;8;4;HUILA;COLOMBIA
44098;8;4;LA GUAJIRA;DISTRACCION
47318;8;2;MAGDALENA;GUAMAL
52378;8;8;NARIÑO;LA CRUZ
54820;8;7;NORTE DE SANTANDER;TOLEDO
63190;8;8;QUINDIO;CIRCASIA
73055;8;4;TOLIMA;ARMERO (GUAYABAL)
73449;8;8;TOLIMA;MELGAR
73585;8;5;TOLIMA;PURIFICACION
73861;8;5;TOLIMA;VENADILLO
76122;8;5;VALLE;CAICEDONIA
76126;8;4;VALLE;CALIMA (DARIEN)
76736;8;6;VALLE;SEVILLA
95025;8;2;GUAVIARE;EL RETORNO
5148;9;9;ANTIOQUIA;CARMEN DE VIBORAL
5197;9;7;ANTIOQUIA;COCORNA
5234;9;2;ANTIOQUIA;DABEIBA
5368;9;4;ANTIOQUIA;JERICO
5690;9;4;ANTIOQUIA;SANTO DOMINGO
5736;9;2;ANTIOQUIA;SEGOVIA
5789;9;4;ANTIOQUIA;TAMESIS
5885;9;1;ANTIOQUIA;YALI
5893;9;8;ANTIOQUIA;YONDO-CASABE
8685;9;5;ATLANTICO;SANTO TOMAS
8832;9;4;ATLANTICO;TUBARA
13074;9;1;BOLIVAR;BARRANCO DE LOBA
13458;9;2;BOLIVAR;MONTECRISTO
13580;9;1;BOLIVAR;REGIDOR
13600;9;4;BOLIVAR;RIOVIEJO
13836;9;3;BOLIVAR;TURBACO
15047;9;7;BOYACA;AQUITANIA (PUEBLOVIEJO)
15516;9;8;BOYACA;PAIPA
17513;9;7;CALDAS;PACORA
18460;9;1;CAQUETA;MILAN
18610;9;4;CAQUETA;SAN JOSE DEL FRAGUA
18753;9;3;CAQUETA;SAN VICENTE DEL CAGUAN
19075;9;2;CAUCA;BALBOA
19513;9;7;CAUCA;PADILLA
20032;9;4;CESAR;ASTREA
20250;9;8;CESAR;EL PASO
23162;9;6;CORDOBA;CERETE
23168;9;1;CORDOBA;CHIMA
23555;9;6;CORDOBA;PLANETA RICA
23660;9;6;CORDOBA;SAHAGUN
25594;9;7;CUNDINAMARCA;QUETAME
25769;9;7;CUNDINAMARCA;SUBACHOQUE
27450;9;1;CHOCO;MEDIO SAN JUAN
47555;9;3;MAGDALENA;PLATO
50287;9;7;META;FUENTE DE ORO
50318;9;7;META;GUAMAL
52203;9;4;NARIÑO;COLON (GENOVA)
52473;9;1;NARIÑO;MOSQUERA
52683;9;5;NARIÑO;SANDONA
52687;9;5;NARIÑO;SAN LORENZO
54250;9;1;NORTE DE SANTANDER;EL TARRA
66682;9;9;RISARALDA;SANTA ROSA DE CABAL
68167;9;7;SANTANDER;CHARALA
68689;9;5;SANTANDER;SAN VICENTE DE CHUCURI
70110;9;4;SUCRE;BUENAVISTA
70678;9;2;SUCRE;SAN BENITO ABAD
73148;9;7;TOLIMA;CARMEN DE APICALA
73678;9;8;TOLIMA;SAN LUIS
76041;9;2;VALLE;ANSERMANUEVO
76113;9;5;VALLE;BUGALAGRANDE
76828;9;5;VALLE;TRUJILLO
5091;10;1;ANTIOQUIA;BETANIA
5190;10;1;ANTIOQUIA;CISNEROS
5209;10;2;ANTIOQUIA;CONCORDIA
5543;10;4;ANTIOQUIA;PEQUE
5604;10;2;ANTIOQUIA;REMEDIOS
5670;10;1;ANTIOQUIA;SAN ROQUE
8372;10;1;ATLANTICO;JUAN DE ACOSTA
8558;10;7;ATLANTICO;POLONUEVO
8606;10;5;ATLANTICO;REPELON
13683;10;2;BOLIVAR;SANTA ROSA
13744;10;1;BOLIVAR;SIMITI
13894;10;4;BOLIVAR;ZAMBRANO
17088;10;7;CALDAS;BELALCAZAR
17433;10;5;CALDAS;MANZANARES
18247;10;2;CAQUETA;EL DONCELLO
19256;10;3;CAUCA;EL TAMBO
19364;10;7;CAUCA;JAMBALO
20614;10;4;CESAR;RIO DE ORO
23300;10;4;CORDOBA;COTORRA (BONGO)
23464;10;7;CORDOBA;MOMIL
23500;10;2;CORDOBA;MOÑITOS
25183;10;8;CUNDINAMARCA;CHOCONTA
25214;10;8;CUNDINAMARCA;COTA
25430;10;9;CUNDINAMARCA;MADRID
25743;10;8;CUNDINAMARCA;SILVANIA
25785;10;8;CUNDINAMARCA;TABIO
25817;10;8;CUNDINAMARCA;TOCANCIPA
25899;10;9;CUNDINAMARCA;ZIPAQUIRA
41020;10;5;HUILA;ALGECIRAS
41298;10;9;HUILA;GARZON
47058;10;5;MAGDALENA;ARIGUANI (EL DIFICIL)
47570;10;2;MAGDALENA;PUEBLOVIEJO
47960;10;1;MAGDALENA;ZAPAYAN
47980;10;3;MAGDALENA;ZONA BANANERA (SEVILLA)
50150;10;7;META;CASTILLA LA NUEVA
50325;10;2;META;MAPIRIPAN
50590;10;7;META;PUERTO RICO
50606;10;7;META;RESTREPO
52207;10;4;NARIÑO;CONSACA
52317;10;4;NARIÑO;GUACHUCAL
52320;10;1;NARIÑO;GUAITARILLA
52540;10;4;NARIÑO;POLICARPA
52786;10;5;NARIÑO;TAMINANGO
63401;10;9;QUINDIO;LA TEBAIDA
66088;10;5;RISARALDA;BELEN DE UMBRIA
68101;10;4;SANTANDER;BOLIVAR
68500;10;7;SANTANDER;OIBA
68655;10;8;SANTANDER;SABANA DE TORRES
68861;10;7;SANTANDER;VELEZ
73226;10;4;TOLIMA;CUNDAY
76275;10;6;VALLE;FLORIDA
76869;10;4;VALLE;VIJES
85263;10;7;CASANARE;PORE
86320;10;6;PUTUMAYO;ORITO
94001;10;1;GUAINIA;INIRIDA
5001;;;ANTIOQUIA;MEDELLIN
5004;;;ANTIOQUIA;ABRIAQUI
5021;;;ANTIOQUIA;ALEJANDRIA
5044;;;ANTIOQUIA;ANZA
5045;;;ANTIOQUIA;APARTADO
5059;;;ANTIOQUIA;ARMENIA
5086;;;ANTIOQUIA;BELMIRA
5088;;;ANTIOQUIA;BELLO
5113;;;ANTIOQUIA;BURITICA
5142;;;ANTIOQUIA;CARACOLI
5145;;;ANTIOQUIA;CARAMANTA
5150;;;ANTIOQUIA;CAROLINA
5206;;;ANTIOQUIA;CONCEPCION
5266;;;ANTIOQUIA;ENVIGADO
5306;;;ANTIOQUIA;GIRALDO
5308;;;ANTIOQUIA;GIRARDOTA
5315;;;ANTIOQUIA;GUADALUPE
5321;;;ANTIOQUIA;GUATAPE
5347;;;ANTIOQUIA;HELICONIA
5353;;;ANTIOQUIA;HISPANIA
5360;;;ANTIOQUIA;ITAGUI
5390;;;ANTIOQUIA;LA PINTADA
5425;;;ANTIOQUIA;MACEO
5467;;;ANTIOQUIA;MONTEBELLO
5475;;;ANTIOQUIA;MURINDO
5501;;;ANTIOQUIA;OLAYA
5576;;;ANTIOQUIA;PUEBLORRICO
5628;;;ANTIOQUIA;SABANALARGA
5647;;;ANTIOQUIA;SAN ANDRES
5652;;;ANTIOQUIA;SAN FRANCISCO
5658;;;ANTIOQUIA;SAN JOSE DE LA MONTAÑA
5819;;;ANTIOQUIA;TOLEDO
5837;;;ANTIOQUIA;TURBO
5856;;;ANTIOQUIA;VALPARAISO
5873;;;ANTIOQUIA;VIGIA DEL FUERTE
8001;;;ATLANTICO;BARRANQUILLA
8549;;;ATLANTICO;PIOJO
8758;;;ATLANTICO;SOLEDAD
11001;;;BOGOTA D.C.;BOGOTA D.C.
13001;;;BOLIVAR;CARTAGENA
13490;;;BOLIVAR;NOROSI
13620;;;BOLIVAR;SAN CRISTOBAL
13650;;;BOLIVAR;SAN FERNANDO
13655;;;BOLIVAR;SAN JACINTO DEL CAUCA
13667;;;BOLIVAR;SAN MARTIN DE LOBA
15001;;;BOYACA;TUNJA
15022;;;BOYACA;ALMEIDA
15051;;;BOYACA;ARCABUCO
15087;;;BOYACA;BELEN
15090;;;BOYACA;BERBEO
15092;;;BOYACA;BETEITIVA
15097;;;BOYACA;BOAVITA
15104;;;BOYACA;BOYACA
15106;;;BOYACA;BRICEÑO
15109;;;BOYACA;BUENAVISTA
15114;;;BOYACA;BUSBANZA
15131;;;BOYACA;CALDAS
15135;;;BOYACA;CAMPOHERMOSO
15162;;;BOYACA;CERINZA
15172;;;BOYACA;CHINAVITA
15180;;;BOYACA;CHISCAS
15185;;;BOYACA;CHITARAQUE
15187;;;BOYACA;CHIVATA
15189;;;BOYACA;CIENEGA
15212;;;BOYACA;COPER
15215;;;BOYACA;CORRALES
15218;;;BOYACA;COVARACHIA
15223;;;BOYACA;CUBARA
15224;;;BOYACA;CUCAITA
15226;;;BOYACA;CUITIVA
15232;;;BOYACA;CHIQUIZA
15236;;;BOYACA;CHIVOR
15244;;;BOYACA;EL COCUY
15248;;;BOYACA;EL ESPINO
15272;;;BOYACA;FIRAVITOBA
15276;;;BOYACA;FLORESTA
15293;;;BOYACA;GACHANTIVA
15296;;;BOYACA;GAMEZA
15317;;;BOYACA;GUACAMAYAS
15325;;;BOYACA;GUAYATA
15332;;;BOYACA;GUICAN
15362;;;BOYACA;IZA
15368;;;BOYACA;JERICO
15377;;;BOYACA;LABRANZAGRANDE
15380;;;BOYACA;LA CAPILLA
15401;;;BOYACA;LA VICTORIA
15403;;;BOYACA;LA UVITA
15425;;;BOYACA;MACANAL
15442;;;BOYACA;MARIPI
15464;;;BOYACA;MONGUA
15466;;;BOYACA;MONGUI
15494;;;BOYACA;NUEVO COLON
15500;;;BOYACA;OICATA
15511;;;BOYACA;PACHAVITA
15514;;;BOYACA;PAEZ
15518;;;BOYACA;PAJARITO
15522;;;BOYACA;PANQUEBA
15533;;;BOYACA;PAYA
15537;;;BOYACA;PAZ DE RIO
15550;;;BOYACA;PISBA
15580;;;BOYACA;QUIPAMA
15621;;;BOYACA;RONDON
15638;;;BOYACA;SACHICA
15660;;;BOYACA;SAN EDUARDO
15664;;;BOYACA;SAN JOSE DE PARE
15667;;;BOYACA;SAN LUIS DE GACENO
15673;;;BOYACA;SAN MATEO
15676;;;BOYACA;SAN MIGUEL DE SEMA
15690;;;BOYACA;SANTA MARIA
15696;;;BOYACA;SANTA SOFIA
15720;;;BOYACA;SATIVANORTE
15723;;;BOYACA;SATIVASUR
15753;;;BOYACA;SOATA
15757;;;BOYACA;SOCHA
15761;;;BOYACA;SOMONDOCO
15762;;;BOYACA;SORA
15763;;;BOYACA;SORACA
15764;;;BOYACA;SOTAQUIRA
15774;;;BOYACA;SUSACON
15776;;;BOYACA;SUTAMARCHAN
15778;;;BOYACA;SUTATENZA
15790;;;BOYACA;TASCO
15798;;;BOYACA;TENZA
15808;;;BOYACA;TINJACA
15810;;;BOYACA;TIPACOQUE
15816;;;BOYACA;TOGUI
15820;;;BOYACA;TOPAGA
15822;;;BOYACA;TOTA
15832;;;BOYACA;TUNUNGUA
15835;;;BOYACA;TURMEQUE
15839;;;BOYACA;TUTAZA
15879;;;BOYACA;VIRACACHA
15897;;;BOYACA;ZETAQUIRA
17001;;;CALDAS;MANIZALES
17042;;;CALDAS;ANSERMA
17388;;;CALDAS;LA MERCED
17446;;;CALDAS;MARULANDA
17495;;;CALDAS;NORCASIA
17662;;;CALDAS;SAMANA
18001;;;CAQUETA;FLORENCIA
18029;;;CAQUETA;ALBANIA
18479;;;CAQUETA;MORELIA
18785;;;CAQUETA;SOLITA
19001;;;CAUCA;POPAYAN
19290;;;CAUCA;FLORENCIA
19392;;;CAUCA;LA SIERRA
19418;;;CAUCA;LOPEZ (MICAY)
19533;;;CAUCA;PIAMONTE
19548;;;CAUCA;PIENDAMO
19807;;;CAUCA;TIMBIO
20001;;;CESAR;VALLEDUPAR
20310;;;CESAR;GONZALEZ
23001;;;CORDOBA;MONTERIA
23079;;;CORDOBA;BUENAVISTA
23350;;;CORDOBA;LA APARTADA (FRONTERA)
23570;;;CORDOBA;PUEBLO NUEVO
23580;;;CORDOBA;PUERTO LIBERTADOR
23815;;;CORDOBA;TUCHIN
25019;;;CUNDINAMARCA;ALBAN
25086;;;CUNDINAMARCA;BELTRAN
25095;;;CUNDINAMARCA;BITUIMA
25120;;;CUNDINAMARCA;CABRERA
25123;;;CUNDINAMARCA;CACHIPAY
25168;;;CUNDINAMARCA;CHAGUANI
25175;;;CUNDINAMARCA;CHIA
25224;;;CUNDINAMARCA;CUCUNUBA
25245;;;CUNDINAMARCA;EL COLEGIO
25258;;;CUNDINAMARCA;EL PEÑON
25288;;;CUNDINAMARCA;FUQUENE
25290;;;CUNDINAMARCA;FUSAGASUGA
25293;;;CUNDINAMARCA;GACHALA
25299;;;CUNDINAMARCA;GAMA
25324;;;CUNDINAMARCA;GUATAQUI
25326;;;CUNDINAMARCA;GUATAVITA
25328;;;CUNDINAMARCA;GUAYABAL DE SIQUIMA
25335;;;CUNDINAMARCA;GUAYABETAL
25339;;;CUNDINAMARCA;GUTIERREZ
25368;;;CUNDINAMARCA;JERUSALEN
25377;;;CUNDINAMARCA;LA CALERA
25386;;;CUNDINAMARCA;LA MESA
25398;;;CUNDINAMARCA;LA PEÑA
25426;;;CUNDINAMARCA;MACHETA
25436;;;CUNDINAMARCA;MANTA
25483;;;CUNDINAMARCA;NARIÑO
25489;;;CUNDINAMARCA;NIMAIMA
25506;;;CUNDINAMARCA;VENECIA
25518;;;CUNDINAMARCA;PAIME
25524;;;CUNDINAMARCA;PANDI
25580;;;CUNDINAMARCA;PULI
25592;;;CUNDINAMARCA;QUEBRADANEGRA
25653;;;CUNDINAMARCA;SAN CAYETANO
25662;;;CUNDINAMARCA;SAN JUAN DE RIOSECO
25754;;;CUNDINAMARCA;SOACHA
25777;;;CUNDINAMARCA;SUPATA
25781;;;CUNDINAMARCA;SUTATAUSA
25805;;;CUNDINAMARCA;TIBACUY
25807;;;CUNDINAMARCA;TIBIRITA
25823;;;CUNDINAMARCA;TOPAIPI
25839;;;CUNDINAMARCA;UBALA
25841;;;CUNDINAMARCA;UBAQUE
25851;;;CUNDINAMARCA;UTICA
25867;;;CUNDINAMARCA;VIANI
25871;;;CUNDINAMARCA;VILLAGOMEZ
25898;;;CUNDINAMARCA;ZIPACON
27050;;;CHOCO;ATRATO (YUTO)
27073;;;CHOCO;BAGADO
27077;;;CHOCO;BAJO BAUDO (PIZARRO)
27099;;;CHOCO;BOJAYA (BELLAVISTA)
27150;;;CHOCO;CARMEN DEL DARIEN
27245;;;CHOCO;EL CARMEN
27250;;;CHOCO;EL LITORAL DEL SAN JUAN
27372;;;CHOCO;JURADO
27425;;;CHOCO;MEDIO ATRATO (BETE)
27430;;;CHOCO;MEDIO BAUDO (PUERTO MELUK)
27491;;;CHOCO;NOVITA
27495;;;CHOCO;NUQUI
27580;;;CHOCO;RIO IRO
27600;;;CHOCO;RIO QUITO (PAIMADO)
27660;;;CHOCO;SAN JOSE DEL PALMAR
27745;;;CHOCO;SIPI
27810;;;CHOCO;UNION PANAMERICANA (LAS ANIMAS
41001;;;HUILA;NEIVA
41026;;;HUILA;ALTAMIRA
41244;;;HUILA;ELIAS
41349;;;HUILA;HOBO
41483;;;HUILA;NATAGA
41518;;;HUILA;PAICOL
41872;;;HUILA;VILLAVIEJA
44001;;;LA GUAJIRA;RIOHACHA
44420;;;LA GUAJIRA;LA JAGUA DEL PILAR
44430;;;LA GUAJIRA;MAICAO
44847;;;LA GUAJIRA;URIBIA
47001;;;MAGDALENA;SANTA MARTA
47030;;;MAGDALENA;ALGARROBO
47161;;;MAGDALENA;CERRO DE SAN ANTONIO
47605;;;MAGDALENA;REMOLINO
47675;;;MAGDALENA;SALAMINA
47703;;;MAGDALENA;SAN ZENON
47798;;;MAGDALENA;TENERIFE
50001;;;META;VILLAVICENCIO
50110;;;META;BARRANCA DE UPIA
50124;;;META;CABUYARO
50223;;;META;CUBARRAL
50226;;;META;CUMARAL
50245;;;META;EL CALVARIO
50251;;;META;EL CASTILLO
50270;;;META;EL DORADO
50686;;;META;SAN JUANITO
52001;;;NARIÑO;PASTO
52019;;;NARIÑO;ALBAN (SAN JOSE)
52022;;;NARIÑO;ALDANA
52036;;;NARIÑO;ANCUYA
52210;;;NARIÑO;CONTADERO
52254;;;NARIÑO;EL PEÑOL
52287;;;NARIÑO;FUNES
52323;;;NARIÑO;GUALMATAN
52354;;;NARIÑO;IMUES
52356;;;NARIÑO;IPIALES
52385;;;NARIÑO;LA LLANADA
